nsa_cs_action_type_text,region,number
Advocacy and public awareness campaigns,Europe,88
Research and analysis,Europe,72
Research and analysis,Asia,47
Research and analysis,Americas,44
Advocacy and public awareness campaigns,Americas,38
Conferences and workshops,Asia,34
Conferences and workshops,Europe,31
Advocacy and public awareness campaigns,Asia,27
Research and analysis,Africa,24
"Developing ethical guidelines, standards, and best practices",Europe,22
Conferences and workshops,Africa,21
Conferences and workshops,Americas,18
Other,Europe,18
Training and courses,Asia,17
Training and courses,Europe,15
"Developing ethical guidelines, standards, and best practices",Asia,14
Advocacy and public awareness campaigns,Africa,13
"Developing ethical guidelines, standards, and best practices",Africa,11
Legal assistance and action,Europe,10
Other,Asia,10
Establishing partnerships and collaborations,Europe,8
Establishing partnerships and collaborations,Americas,8
Training and courses,Africa,7
Non-state mechanisms,Asia,7
Training and courses,Americas,7
Research and analysis,Oceania,7
Establishing partnerships and collaborations,Asia,6
Other,Africa,5
Establishing partnerships and collaborations,Africa,5
Advocacy and public awareness campaigns,Oceania,3
"Developing ethical guidelines, standards, and best practices",Oceania,3
Other,Americas,3
Other,Oceania,3
Legal assistance and action,Asia,2
Legal assistance and action,Africa,1
"Developing ethical guidelines, standards, and best practices",Americas,1
Conferences and workshops,Oceania,1
Non-state mechanisms,Europe,1
