nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Europe,7
Research and analysis,Asia,5
Research and analysis,Europe,5
"Developing ethical guidelines, standards, and best practices",Europe,5
Conferences and workshops,Asia,3
Research and analysis,Africa,3
Advocacy and public awareness campaigns,Americas,3
Conferences and workshops,Africa,3
Conferences and workshops,Americas,3
Advocacy and public awareness campaigns,Asia,2
Research and analysis,Americas,2
Advocacy and public awareness campaigns,Africa,1
"Developing ethical guidelines, standards, and best practices",Asia,1
"Developing ethical guidelines, standards, and best practices",Africa,1
Conferences and workshops,Europe,1
Advocacy and public awareness campaigns,Oceania,1
Establishing partnerships and collaborations,Americas,1
Other,Europe,1
Research and analysis,Oceania,1
Training and courses,Europe,1
