nsa_cs_action_type_text,region,0
Research and analysis,Europe,7
Advocacy and public awareness campaigns,Europe,6
Research and analysis,Americas,6
Research and analysis,Asia,3
Research and analysis,Oceania,2
Advocacy and public awareness campaigns,Americas,2
Other,Europe,2
Conferences and workshops,Africa,2
Conferences and workshops,Asia,2
Conferences and workshops,Europe,2
Research and analysis,Africa,2
Advocacy and public awareness campaigns,Asia,1
"Developing ethical guidelines, standards, and best practices",Americas,1
Conferences and workshops,Americas,1
"Developing ethical guidelines, standards, and best practices",Europe,1
"Developing ethical guidelines, standards, and best practices",Asia,1
Non-state mechanisms,Asia,1
Training and courses,Africa,1
