nsa_cs_action_type_text,ranking_category,0
Research and analysis,Leading Adoption,104
Advocacy and public awareness campaigns,Leading Adoption,99
Research and analysis,Strong Adoption,58
Conferences and workshops,Leading Adoption,55
Advocacy and public awareness campaigns,Strong Adoption,48
Conferences and workshops,Strong Adoption,42
"Developing ethical guidelines, standards, and best practices",Leading Adoption,34
Research and analysis,Emerging Adoption,30
Training and courses,Leading Adoption,23
Advocacy and public awareness campaigns,Emerging Adoption,20
Other,Strong Adoption,17
Other,Leading Adoption,16
Training and courses,Strong Adoption,13
Establishing partnerships and collaborations,Leading Adoption,12
Conferences and workshops,Emerging Adoption,11
Legal assistance and action,Leading Adoption,11
Training and courses,Emerging Adoption,9
"Developing ethical guidelines, standards, and best practices",Emerging Adoption,9
Establishing partnerships and collaborations,Strong Adoption,9
"Developing ethical guidelines, standards, and best practices",Strong Adoption,8
Non-state mechanisms,Leading Adoption,8
Research and analysis,Low Adoption,5
Establishing partnerships and collaborations,Emerging Adoption,5
Other,Emerging Adoption,4
Advocacy and public awareness campaigns,Low Adoption,3
Other,Low Adoption,2
Conferences and workshops,Low Adoption,1
Establishing partnerships and collaborations,Low Adoption,1
Legal assistance and action,Strong Adoption,1
Legal assistance and action,Low Adoption,1
Training and courses,Low Adoption,1
